"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type"
2.90974924131765e-68,-0.338167399366776,0.859,0.908,7.31219984343126e-64,"ARPC1B","CD14 Mono"
3.83117179343908e-67,0.590724896886001,0.529,0.374,9.6277347169124e-63,"ABRACL","CD14 Mono"
1.77641732440749e-65,1.73101720217389,0.129,0.049,4.46413673623602e-61,"TNFAIP6","CD14 Mono"
2.00093775074167e-65,0.708565356890936,0.393,0.253,5.02835656761381e-61,"DDT","CD14 Mono"
2.08273629964599e-65,0.262186051168111,0.956,0.986,5.23391632101037e-61,"B2M","CD14 Mono"
3.76188615886803e-65,1.42700441884822,0.304,0.178,9.45361991723535e-61,"HSPE1","CD14 Mono"
4.55383506540341e-65,1.99291815625579,0.104,0.034,1.14437875193588e-60,"MIR3945HG","CD14 Mono"
1.67928523027986e-64,0.426717736403398,0.982,0.961,4.22004378369328e-60,"SAT1","CD14 Mono"
5.35746985124827e-64,1.47499992793325,0.142,0.057,1.34633217361869e-59,"ZC3H12A","CD14 Mono"
9.31471476786421e-64,1.72907977638774,0.105,0.035,2.34078782116428e-59,"AC084871.1","CD14 Mono"
1.67710422050137e-63,1.96402202598426,0.132,0.052,4.21456290611996e-59,"AREG","CD14 Mono"
3.74086625538277e-63,-0.268199073920476,0.906,0.917,9.4007968997769e-59,"MT-ND2","CD14 Mono"
5.45542070996805e-63,-0.800904415989151,0.485,0.557,1.37094722441497e-58,"TPM4","CD14 Mono"
2.04605118467934e-62,0.517105391820642,0.55,0.397,5.14172662709918e-58,"SEC61G","CD14 Mono"
3.26692452828624e-62,0.448151976622214,0.671,0.527,8.20978133958332e-58,"TMEM258","CD14 Mono"
2.14565934291976e-61,-0.475810719290497,0.683,0.737,5.39204192875736e-57,"FYB1","CD14 Mono"
5.29263906527108e-61,-0.429007668982646,0.751,0.81,1.33004019710262e-56,"VSIR","CD14 Mono"
7.38066499171151e-61,0.85380647759097,0.311,0.187,1.8547611124171e-56,"SNHG15","CD14 Mono"
1.36514445980638e-60,0.388150600642348,0.868,0.785,3.43060802749342e-56,"KLF6","CD14 Mono"
4.10290003002406e-60,1.23992369922166,0.216,0.113,1.03105877754505e-55,"AC245014.3","CD14 Mono"
3.54182863393736e-57,-1.02615708492388,0.46,0.544,8.90061535708458e-53,"ARHGAP26","CD14 Mono"
4.42824355927154e-57,-0.406164331859737,0.732,0.771,1.11281760644494e-52,"LRRFIP1","CD14 Mono"
5.44241660551196e-57,-0.314827526286892,0.845,0.877,1.36767929296516e-52,"TYMP","CD14 Mono"
8.7304417100162e-57,-0.654843698448916,0.464,0.561,2.19396000172707e-52,"PLEKHO1","CD14 Mono"
1.02893701606794e-56,1.04820167000437,0.344,0.226,2.58571872137874e-52,"TMEM107","CD14 Mono"
3.50051078180284e-56,1.35918392498042,0.158,0.072,8.79678359467055e-52,"AC011446.2","CD14 Mono"
3.54366657327929e-56,-0.471672837875176,0.648,0.714,8.90523409865086e-52,"CTSZ","CD14 Mono"
8.48821599901688e-56,0.41105540804068,0.772,0.664,2.13308868055294e-51,"ZFAS1","CD14 Mono"
1.39349285462955e-55,0.656560230423743,0.321,0.197,3.50184754368406e-51,"AL133415.1","CD14 Mono"
2.53630991240535e-55,0.558575255931301,0.455,0.316,6.37374680987465e-51,"NDUFA3","CD14 Mono"
2.90228027440806e-55,-0.401894655593258,0.699,0.76,7.29343032958744e-51,"FLNA","CD14 Mono"
1.01663893792057e-54,-0.708245501389689,0.433,0.526,2.55481365099439e-50,"RAB11FIP1","CD14 Mono"
4.41001301179265e-54,0.515264138392486,0.553,0.411,1.10823626986349e-49,"ATP5ME","CD14 Mono"
8.59952963770443e-54,0.681324471459392,0.341,0.218,2.16106179795512e-49,"TAGAP","CD14 Mono"
8.96199066256104e-54,-0.77628415649843,0.351,0.447,2.25214825350159e-49,"ETV6","CD14 Mono"
1.29672524186767e-53,-0.526067729867227,0.549,0.622,3.25867053281346e-49,"WASF2","CD14 Mono"
1.61232716642503e-53,-0.414930731774304,0.691,0.736,4.05177816922611e-49,"SAMHD1","CD14 Mono"
2.57174718893509e-53,0.447401422358393,0.525,0.379,6.46280068579388e-49,"PET100","CD14 Mono"
3.0928346182855e-53,-0.54838906465726,0.571,0.647,7.77229339575145e-49,"VASP","CD14 Mono"
1.13322085597248e-52,0.891380004989725,0.326,0.215,2.84778401105884e-48,"PDE4B","CD14 Mono"
1.5030464129103e-52,-0.636253996857366,0.415,0.513,3.7771556356436e-48,"ARHGAP30","CD14 Mono"
1.50831788123289e-52,0.525643656763108,0.435,0.298,3.79040283553826e-48,"RPL22L1","CD14 Mono"
3.14817497407221e-52,-1.51282201215123,0.18,0.285,7.91136370984345e-48,"NIBAN1","CD14 Mono"
3.88044779933819e-52,0.328516537937533,0.897,0.846,9.75156531973688e-48,"RPLP0","CD14 Mono"
5.36140831009165e-52,0.386333740675358,0.765,0.681,1.34732190832603e-47,"CSTA","CD14 Mono"
5.98064792118672e-52,0.377870401701365,0.757,0.656,1.50293682259422e-47,"OST4","CD14 Mono"
1.22934956390218e-51,1.10833404566976,0.245,0.143,3.08935545408617e-47,"BHLHE40","CD14 Mono"
1.4914657471595e-51,3.38723003095326,0.147,0.069,3.74805342261183e-47,"HSPH1","CD14 Mono"
1.53971931457859e-51,-0.779281151599078,0.552,0.605,3.86931463753599e-47,"LYN","CD14 Mono"
2.80822803424867e-51,0.5673853878965,0.705,0.586,7.0570770500669e-47,"UBB","CD14 Mono"
3.92612749593252e-51,-0.446318145276479,0.675,0.725,9.86635839727841e-47,"HCK","CD14 Mono"
6.45734299581669e-51,0.548369348977742,0.389,0.257,1.62273029484873e-46,"HLA-F","CD14 Mono"
9.98356544642003e-51,-0.376586764854824,0.658,0.728,2.50886999668535e-46,"CYBB","CD14 Mono"
1.23679473338227e-50,0.758034463428125,0.758,0.665,3.10806516498963e-46,"AC007952.4","CD14 Mono"
2.4864257416082e-50,-0.541674534547137,0.569,0.643,6.24838788866141e-46,"FMNL1","CD14 Mono"
4.29282555114809e-50,-0.350807455604962,0.811,0.852,1.07878706100352e-45,"TPM3","CD14 Mono"
